,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)"
9658,63.8,-5.960000000000001,100.0,,,,,,63.8
16219,,-81.0,-81.0,,,,,,-81.0
8188,-9.0,,,,,,,,-81.0
7872,-81.0,,-5.960000000000001,,-81.0,,-81.0,,
7953,6.2,,100.0,,,,6.2,,
12675,100.0,,,-81.0,,-81.0,-81.0,-81.0,
1510,,,,,,-81.0,,,100.0
4576,,,,,,-81.0,-5.960000000000001,100.0,-81.0
4577,,,,,,-81.0,100.0,6.2,
4574,,,,,,-81.0,-9.0,,
8285,-81.0,,,100.0,,,,100.0,
18257,,,100.0,,,100.0,,-81.0,
18254,,,100.0,,,-81.0,,,
9982,100.0,-5.960000000000001,-81.0,,,,,,-81.0
12169,6.2,,-81.0,,,,,,-81.0
8409,-52.04,,,40.632000000000005,63.8,,40.632000000000005,63.8,
10300,-81.0,-81.0,,,40.632000000000005,,-81.0,-81.0,-81.0
3742,,-81.0,,,-81.0,,-81.0,,-81.0
11811,63.8,,3.7680000000000007,,3.7680000000000007,,63.8,3.7680000000000007,
11730,-5.960000000000001,,-81.0,,,,-81.0,-81.0,
11739,100.0,,6.2,,,,,6.2,
3300,,-81.0,-81.0,-81.0,-81.0,,,,
15889,,-81.0,,,-81.0,,63.8,-81.0,100.0
17995,,,,,,,100.0,-81.0,100.0
8798,-81.0,-81.0,,,,-5.960000000000001,,100.0,
6211,,,,100.0,-81.0,,,,100.0
11854,-81.0,,-81.0,,,-81.0,,,-81.0
12583,100.0,,,,,-81.0,,,100.0
16833,,6.2,,,,,-81.0,-81.0,
3920,,-81.0,,-5.960000000000001,,100.0,,-81.0,
10018,-81.0,-81.0,-81.0,,,,,,-81.0
12017,3.7680000000000007,,3.7680000000000007,-52.04,-52.04,-52.04,,,
11774,63.8,,-81.0,,-81.0,-81.0,,,
5411,,,6.2,-81.0,,,-81.0,,
17614,,,,,-52.04,-52.04,-52.04,,-52.04
17695,,,,,,-81.0,-81.0,,63.8
17703,,,,,,100.0,,,
16157,,-81.0,-81.0,,63.8,-81.0,-81.0,,
8942,100.0,-81.0,,,,-81.0,,-81.0,
11129,100.0,,,,,-81.0,,-81.0,
16233,,6.2,-81.0,,,-81.0,,,
4550,,,,,,,-9.0,100.0,
12448,100.0,,,,,,,,100.0
13697,,,,,100.0,,,,
2716,,-81.0,,,,-81.0,-81.0,,-81.0
4903,,,,,,63.8,100.0,,100.0
9529,-81.0,-81.0,-81.0,,,100.0,,,63.8
2968,,-81.0,-81.0,,,-81.0,,,100.0
6746,100.0,,,,,,,100.0,
6089,,,,100.0,,,6.2,6.2,
6086,,,,-9.0,,,-81.0,,
8071,-81.0,,,,,100.0,,,63.8
7525,-81.0,,6.2,,,,,,-81.0
16236,,-81.0,-81.0,,,-81.0,-5.960000000000001,,
18423,,,63.8,,,-81.0,100.0,,
18396,,,100.0,,,,-81.0,,
5226,,,-81.0,,100.0,-81.0,-81.0,,
11945,3.7680000000000007,,3.7680000000000007,3.7680000000000007,,3.7680000000000007,-52.04,,
11918,-81.0,,-81.0,-5.960000000000001,,,-81.0,,
18713,,,100.0,,,,,,
7474,63.8,,100.0,,,,,63.8,63.8
14035,,,-81.0,,,,,-81.0,-81.0
9754,-81.0,-81.0,-52.04,-81.0,,-81.0,,,-81.0
14155,,,100.0,6.2,,,,,6.2
14196,,,63.8,100.0,-81.0,,,-81.0,
5927,,,,,100.0,,100.0,63.8,
11110,-81.0,,,,,,-81.0,100.0,63.8
11111,-81.0,,,,,,-81.0,-81.0,
12016,-81.0,,-81.0,-81.0,-81.0,-81.0,,,-4.0144
9254,100.0,-9.0,,,,,,,
15811,,-81.0,,,,,100.0,,100.0
2399,,100.0,,,,-81.0,,6.2,
11038,-81.0,,,,-81.0,,,-81.0,-81.0
11119,-81.0,,,,,,,6.2,100.0
16210,,63.8,63.8,,,,63.8,,100.0
18397,,,-81.0,,,,-81.0,,-81.0
18388,,,100.0,,,,,,100.0
4851,,,,10.0,,,,,
15886,,-81.0,,,-81.0,,100.0,,63.8
15967,,-81.0,,,,,-81.0,,100.0
12160,63.8,,-5.960000000000001,,,,-5.960000000000001,,-5.960000000000001
17993,,,,,,,100.0,,
3126,,63.8,100.0,,,-5.960000000000001,,63.8,
14428,,,-81.0,,63.8,,100.0,,-81.0
6121,,,,63.8,,63.8,,,100.0
15667,,3.7680000000000007,,-52.04,100.0,63.8,,,63.8
15640,,-81.0,,-81.0,-81.0,,,,-81.0
3232,,-81.0,-81.0,-81.0,,,,,-81.0
18335,,,-81.0,,-81.0,-81.0,,,
3345,,-81.0,100.0,-81.0,,,,,
4533,,,,,100.0,,,,
13798,,,,,,100.0,,,100.0
914,,,100.0,,,,,100.0,
9331,63.8,63.8,,,63.8,,63.8,,100.0
9322,-81.0,-81.0,,,-81.0,,,,-81.0
9403,-81.0,63.8,,,,,,,100.0
2842,,100.0,,,,,,,-81.0
2843,,100.0,,,,,,,
15432,,-81.0,,,-81.0,-5.960000000000001,-81.0,,
15459,,6.2,,,6.2,,6.2,,
15450,,-81.0,,,-9.0,,,,
11973,100.0,,63.8,3.7680000000000007,,,63.8,63.8,
11964,-81.0,,-81.0,-81.0,,,,-81.0,
12207,100.0,,100.0,,,,,100.0,
17859,,,,40.632000000000005,63.8,100.0,63.8,63.8,
17781,,,,63.8,,100.0,100.0,,
3337,,3.7680000000000007,-81.0,-81.0,,,-81.0,,-81.0
3094,,100.0,-81.0,,,,63.8,,-81.0
8956,-5.960000000000001,-5.960000000000001,,,,-5.960000000000001,,,-5.960000000000001
8983,6.2,6.2,,,,,,,6.2
15513,,6.2,,,,100.0,-81.0,,
4507,,,,,-81.0,-81.0,,,-81.0
4240,,-81.0,,,-81.0,-81.0,,,-5.960000000000001
2134,,,,,,100.0,,,-9.0
5536,,,-81.0,-81.0,,-81.0,,,-81.0
5563,,,-81.0,100.0,,,,,100.0
3359,,-52.04,3.7680000000000007,3.7680000000000007,,3.7680000000000007,3.7680000000000007,,
4522,,,,,-81.0,,-5.960000000000001,-81.0,-81.0
4525,,,,,63.8,,100.0,,-81.0
15649,,-52.04,,63.8,63.8,,63.8,,100.0
3504,,-81.0,-81.0,,-81.0,,,-81.0,
17616,,,,,-81.0,-52.04,-81.0,-81.0,
17625,,,,,6.2,100.0,,6.2,
17622,,,,,-81.0,-9.0,,,
8605,-81.0,,,,100.0,,,,-81.0
8604,100.0,,,,100.0,,,,
1846,,,,-81.0,63.8,,-81.0,,100.0
1927,,,,-81.0,,,-81.0,,-81.0
1918,,,,100.0,,,,,100.0
11698,-81.0,,-81.0,,,-81.0,,,-81.0
12427,100.0,,,,,100.0,,,-81.0
10101,-81.0,-81.0,-81.0,,63.8,,,100.0,
9372,-81.0,-81.0,,,100.0,,,-81.0,
11559,-81.0,,,,100.0,,,100.0,
3718,,-81.0,,,,,,,100.0
13247,,,,,-81.0,-81.0,-81.0,,
13238,,,,,100.0,-81.0,,,
9432,-81.0,-81.0,,,,100.0,-81.0,,
11619,-81.0,,,,,100.0,100.0,,
5058,,,,,,100.0,-81.0,,
16230,,-81.0,-81.0,,,-81.0,,-5.960000000000001,
8376,-5.960000000000001,,,-5.960000000000001,-5.960000000000001,-52.04,,,
14937,,,,6.2,6.2,6.2,,,
10073,-52.04,-52.04,-52.04,,63.8,3.7680000000000007,,,
15912,,-81.0,,,-81.0,-81.0,100.0,,
18099,,,,,-81.0,100.0,100.0,,
18018,,,,,,-81.0,100.0,,
18045,,,,,,,100.0,,
14647,,,,,,,-81.0,100.0,6.2
3065,,-81.0,63.8,,-81.0,,100.0,-81.0,
8924,100.0,63.8,,,,,63.8,63.8,
16081,,3.7680000000000007,63.8,,,100.0,63.8,,3.7680000000000007
16072,,-81.0,-81.0,,,-81.0,,,-81.0
16073,,63.8,100.0,,,100.0,,,
11512,-81.0,,,,-81.0,,-81.0,,-5.960000000000001
8935,-81.0,-81.0,,,,,,,100.0
6748,-81.0,,,,,,,,100.0
15593,,63.8,,63.8,,63.8,100.0,63.8,
13900,,,-81.0,,,-81.0,,-81.0,-81.0
13903,,,-81.0,,,100.0,,,6.2
9892,-52.04,-52.04,-4.0144,-52.04,,,-4.0144,,-4.0144
12078,-81.0,,-81.0,-81.0,,,-81.0,,
18639,,,100.0,-81.0,,,100.0,,
3092,,-81.0,-81.0,,,,63.8,-81.0,
11705,63.8,,63.8,,,100.0,63.8,3.7680000000000007,
12259,3.7680000000000007,,63.8,,63.8,3.7680000000000007,,,100.0
12232,-81.0,,-81.0,,-81.0,,,,-5.960000000000001
12233,6.2,,6.2,,6.2,,,,
10425,100.0,63.8,,,,,,100.0,
8238,-81.0,,,,,,,-81.0,
8241,100.0,,,,,,,,
9699,100.0,6.2,-81.0,,,,,,
8970,-9.0,100.0,,,,,,,
5302,,,-81.0,,,-81.0,-5.960000000000001,,-81.0
5303,,,6.2,,,6.2,100.0,,
18361,,,63.8,,-81.0,,,,100.0
2344,,-5.960000000000001,,,-81.0,,,-81.0,-81.0
8792,-81.0,-81.0,,,,-81.0,100.0,,
15353,,-81.0,,,,100.0,100.0,,
7225,100.0,,,,,,63.8,,100.0
7834,-81.0,,-81.0,,,,,-81.0,-81.0
7837,63.8,,100.0,,,,,,63.8
2992,,-81.0,-81.0,,,,,-81.0,63.8
3601,,-81.0,-81.0,,,3.7680000000000007,-81.0,,-81.0
1409,,,100.0,,,6.2,,-81.0,
14614,,,,,,-9.0,,,-81.0
10301,63.8,-52.04,,,100.0,,63.8,-52.04,
3749,,-81.0,,,100.0,,,-81.0,
9528,-81.0,-81.0,-81.0,,,-81.0,,,
16801,,6.2,,,,100.0,,,-81.0
17615,,,,,63.8,-81.0,-81.0,,
5369,,,-81.0,100.0,,,,6.2,
5366,,,-81.0,-9.0,,,,,
5709,,,63.8,,100.0,63.8,63.8,63.8,
4980,,,,,-81.0,-81.0,-81.0,-81.0,
9133,63.8,63.8,,63.8,100.0,,,,-52.04
2652,,100.0,,100.0,,,,,
961,,,100.0,,,,100.0,,63.8
7498,63.8,,100.0,,,-5.960000000000001,,,63.8
1126,,,-81.0,-81.0,-81.0,,,,-81.0
1855,,,,-81.0,100.0,,,,-81.0
4975,,,,,100.0,-81.0,,,-81.0
14641,,,,,,,,,10.0
17582,,,,,100.0,,,-81.0,
10509,100.0,6.2,,6.2,,,,,
7914,-81.0,,-81.0,,100.0,,,-52.04,
7895,63.8,,63.8,,100.0,3.7680000000000007,-52.04,,
13718,,,,,100.0,-81.0,,,
9195,-81.0,63.8,,-81.0,,100.0,-81.0,,
7008,-81.0,,,-81.0,,-81.0,-81.0,,
13569,,,,6.2,,100.0,6.2,,
8365,-81.0,,,-81.0,63.8,,,-81.0,-81.0
18312,,,100.0,,100.0,,,,
11307,63.8,,,3.7680000000000007,63.8,100.0,,3.7680000000000007,
6880,-81.0,,,-81.0,,,,-81.0,-81.0
6881,100.0,,,-81.0,,,,100.0,
6005,,,,,,,100.0,,
4442,,,,,,,-9.0,-81.0,
12321,63.8,,100.0,,,,100.0,,
3694,,-81.0,,,,-81.0,,-81.0,-81.0
13513,,,,3.7680000000000007,63.8,,-52.04,-52.04,-52.04
7201,100.0,,,,100.0,,,,-81.0
1200,,,63.8,100.0,,,-81.0,-81.0,
12459,100.0,,,,,,-81.0,-81.0,
12456,100.0,,,,,,-81.0,,
10027,63.8,100.0,63.8,,,,63.8,,63.8
10026,-81.0,-81.0,-81.0,,,,-81.0,,
12213,100.0,,63.8,,,,100.0,,
11484,-81.0,,,,,,-81.0,,
11493,100.0,,,,,,,,
10985,-81.0,,,,,100.0,,6.2,
7843,63.8,,63.8,,,,63.8,100.0,63.8
2661,,100.0,,-81.0,,,-81.0,,
15993,,-81.0,,,,100.0,100.0,,
13806,,,,,,100.0,100.0,,
12043,63.8,,63.8,63.8,63.8,,,,100.0
5482,,,-81.0,-81.0,-81.0,,,,-81.0
3469,,63.8,63.8,,,,63.8,63.8,100.0
5647,,,100.0,,,,,63.8,100.0
11990,63.8,,-5.960000000000001,-5.960000000000001,-5.960000000000001,,,,
12719,6.2,,,-81.0,-81.0,,,,
12638,100.0,,,-9.0,,,,,
13478,,,,-81.0,100.0,-81.0,,-81.0,
11229,100.0,,,63.8,,100.0,,,
10986,-81.0,,,,,-81.0,,,
7608,-81.0,,-81.0,-81.0,,,,-81.0,
7340,-81.0,,-81.0,,,-81.0,,100.0,
8069,-81.0,,,,,100.0,,100.0,
9211,-81.0,-81.0,,3.7680000000000007,,,,-81.0,-81.0
11920,-81.0,,-81.0,-52.04,,,-81.0,-81.0,-81.0
9138,-52.04,-52.04,,-52.04,-4.0144,,-52.04,-52.04,
9381,-81.0,-81.0,,,63.8,,-81.0,-81.0,
9375,-81.0,-81.0,,,100.0,,,,
4996,,,,,100.0,,,,-81.0
3946,,-81.0,,-81.0,,,,-81.0,100.0
11297,3.7680000000000007,,,3.7680000000000007,3.7680000000000007,3.7680000000000007,3.7680000000000007,,
11288,-81.0,,,-81.0,-5.960000000000001,-81.0,,,
5026,,,,,,,,100.0,-9.0
5027,,,,,,,,10.0,
7687,63.8,,63.8,3.7680000000000007,100.0,,,,-52.04
14005,,,6.2,,100.0,,,,6.2
2142,,,,,,100.0,100.0,,
12511,40.632000000000005,,,,-81.0,-81.0,-81.0,,-81.0
4909,,,,,,6.2,,6.2,100.0
15569,,-81.0,,100.0,,,100.0,,
15679,,-81.0,,3.7680000000000007,-81.0,-81.0,,,-81.0
1777,,,,-81.0,,,,100.0,100.0
15433,,-52.04,,,63.8,63.8,-52.04,,3.7680000000000007
15406,,-81.0,,,-81.0,,-81.0,,-81.0
15478,,100.0,,,,,,,100.0
1414,,,63.8,,,100.0,-81.0,,-81.0
11219,3.7680000000000007,,,63.8,,63.8,100.0,3.7680000000000007,
