,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)"
11515,3.7680000000000007,,,,63.8,,63.8,3.7680000000000007,100.0
11435,6.2,,,,,,100.0,6.2,
14457,,,-81.0,,-81.0,-81.0,40.632000000000005,-81.0,
13246,,,,,-5.960000000000001,-5.960000000000001,-5.960000000000001,,63.8
3977,,6.2,,100.0,6.2,,,,
8374,-52.04,,,-52.04,-4.0144,-33.50560000000001,,-4.0144,-4.0144
12070,-81.0,,-81.0,-81.0,,,,,-5.960000000000001
18631,,,-81.0,-81.0,,,,,100.0
10783,3.7680000000000007,3.7680000000000007,,,3.7680000000000007,,3.7680000000000007,,-52.04
7634,-81.0,,-81.0,-81.0,63.8,,,,
7715,-81.0,,-81.0,-81.0,,,,,
6986,100.0,,,-81.0,,,,,
7229,100.0,,,,,,,,
1051,,,100.0,-81.0,,,,,100.0
10722,-81.0,-81.0,,,,-81.0,,-81.0,
12081,-81.0,,100.0,-81.0,,,-81.0,63.8,
1176,,,-5.960000000000001,-81.0,,-81.0,-81.0,,
1419,,,100.0,,,6.2,-81.0,,
1410,,,-9.0,,,100.0,,,
17022,,100.0,,63.8,,,-81.0,-81.0,
4144,,-81.0,,,,,-81.0,-81.0,-5.960000000000001
1043,,,100.0,-81.0,,,-81.0,,
11965,63.8,,100.0,63.8,,,,63.8,63.8
2795,,100.0,,,63.8,3.7680000000000007,63.8,3.7680000000000007,
2786,,-81.0,,,-81.0,-81.0,,-81.0,
4973,,,,,100.0,6.2,,6.2,
4997,,,,,100.0,,,,
1960,,,,,,,-81.0,,-9.0
6104,,,,-9.0,,100.0,,,
5331,,,-81.0,,,,100.0,6.2,
1987,,,,,,6.2,6.2,,100.0
5752,,,-81.0,,,,,,-9.0
14535,,,-81.0,,,-81.0,100.0,,
8622,-81.0,,,,-81.0,-81.0,-81.0,,
15183,,,,,100.0,-81.0,100.0,,
4978,,,,,-5.960000000000001,-52.04,-52.04,,-5.960000000000001
5059,,,,,,6.2,-81.0,,-81.0
17094,,100.0,,-81.0,-81.0,,,-5.960000000000001,
9550,-81.0,-5.960000000000001,-81.0,,,,,,-81.0
9551,-81.0,100.0,6.2,,,,,,
13755,,,,,-81.0,,-81.0,-81.0,
13927,,,6.2,,,,,100.0,6.2
11134,-52.04,,,,,-52.04,-5.960000000000001,,-5.960000000000001
11161,6.2,,,,,,63.8,,6.2
1534,,,,,,,,-81.0,100.0
9298,-81.0,-81.0,,,,,-81.0,,-81.0
4924,,,,,,,-81.0,,-81.0
4925,,,,,,,100.0,,
12187,3.7680000000000007,,3.7680000000000007,,,-52.04,63.8,,63.8
12178,-81.0,,-81.0,,,-81.0,,,-81.0
13702,,,,,-81.0,,100.0,-81.0,63.8
6848,-81.0,,,-81.0,,-81.0,100.0,,
10478,-81.0,63.8,,-81.0,,100.0,,,
10694,-81.0,-9.0,,,,,,,
1833,,,,-81.0,100.0,-81.0,,,
2536,,-81.0,,-81.0,-81.0,,,,100.0
2779,,100.0,,,-81.0,,,,100.0
17623,,,,,6.2,63.8,,,6.2
9119,3.7680000000000007,63.8,,3.7680000000000007,3.7680000000000007,-52.04,,,
6932,-81.0,,,-81.0,-81.0,-81.0,,,
6959,100.0,,,63.8,100.0,,,,
7367,-81.0,,-81.0,,,,,100.0,
14475,,,-81.0,,63.8,,,100.0,
13746,,,,,100.0,,,-81.0,
4957,,,,,63.8,,-81.0,,100.0
3121,,63.8,-81.0,,,-81.0,100.0,,-81.0
3585,,-81.0,100.0,,,,,-81.0,
13270,,,,,-5.960000000000001,,-5.960000000000001,-5.960000000000001,-52.04
13271,,,,,63.8,,-81.0,-81.0,
13277,,,,,100.0,,,,
14862,,,,-81.0,,-81.0,-81.0,-5.960000000000001,
14838,,,,-9.0,,,-81.0,,
3873,,-81.0,,,,,100.0,-81.0,
12721,40.632000000000005,,,-81.0,-81.0,,,-81.0,-81.0
16212,,-81.0,63.8,,,,-81.0,-81.0,
16221,,-81.0,100.0,,,,,-81.0,
3750,,-81.0,,,100.0,,,,
13979,,,-81.0,,100.0,-81.0,,,
13952,,,-81.0,,100.0,,,,
14925,,,,-81.0,-81.0,,,-81.0,
14922,,,,100.0,100.0,,,,
9547,63.8,-52.04,3.7680000000000007,,,,63.8,,3.7680000000000007
8818,-81.0,-81.0,,,,,-5.960000000000001,,-81.0
15378,,-81.0,,,,,-9.0,,
5545,,,3.7680000000000007,3.7680000000000007,,3.7680000000000007,63.8,,3.7680000000000007
10559,-81.0,-81.0,,-81.0,-81.0,-52.04,,,
3998,,-81.0,,-5.960000000000001,-81.0,100.0,,,
7246,63.8,,,,,100.0,-81.0,,-81.0
2819,,100.0,,,63.8,,-81.0,,
11305,3.7680000000000007,,,3.7680000000000007,3.7680000000000007,3.7680000000000007,,,3.7680000000000007
11224,-5.960000000000001,,,-5.960000000000001,,-5.960000000000001,,,-5.960000000000001
11250,-9.0,,,-81.0,,,,,
3775,,-81.0,,,63.8,-81.0,,-81.0,-81.0
3748,,-81.0,,,100.0,,,-81.0,-81.0
3751,,-81.0,,,100.0,,,,-81.0
9326,63.8,-5.960000000000001,,,-5.960000000000001,,-5.960000000000001,,
9407,6.2,-81.0,,,,,-81.0,,
12673,3.7680000000000007,,,-81.0,,-81.0,-81.0,,-81.0
9008,-81.0,-81.0,,-81.0,,,100.0,,
17281,,100.0,,,,-81.0,,,100.0
8294,-81.0,,,-81.0,,100.0,,-5.960000000000001,
9210,-81.0,-81.0,,100.0,,,,63.8,
10454,-81.0,-81.0,,-5.960000000000001,,,,-81.0,
10396,-81.0,-81.0,,,,-81.0,,,-81.0
5715,,,63.8,,100.0,63.8,,,
5688,,,-81.0,,-81.0,,,,
5259,,,6.2,,100.0,,,6.2,
4530,,,,,-9.0,,,-81.0,
3147,,63.8,-81.0,,,,100.0,,
7231,100.0,,,,,,,-81.0,100.0
7195,100.0,,,,63.8,,-81.0,-81.0,-81.0
7186,-81.0,,,,100.0,,,-81.0,-81.0
7899,63.8,,63.8,,3.7680000000000007,3.7680000000000007,3.7680000000000007,,
7170,-81.0,,,,-81.0,-81.0,-81.0,,
15697,,-52.04,,3.7680000000000007,63.8,,63.8,,3.7680000000000007
13342,,,,,,,,-9.0,100.0
9131,63.8,63.8,,63.8,100.0,,,-52.04,
4520,,,,,-81.0,,-9.0,,
9409,63.8,63.8,,,,,3.7680000000000007,3.7680000000000007,100.0
7228,100.0,,,,,,,,-81.0
6944,-81.0,,,-81.0,-81.0,,,-81.0,
13505,,,,-81.0,100.0,,,-81.0,
7971,-81.0,,-81.0,,,6.2,,,
17255,,100.0,,,,,,,
14752,,,,,,,100.0,,100.0
9348,-81.0,-81.0,,,-81.0,-81.0,,,
15909,,63.8,,,100.0,100.0,,,
14433,,,100.0,,-81.0,,6.2,,
15449,,-81.0,,,100.0,,,-81.0,
11292,-81.0,,,-81.0,100.0,-81.0,,,
11535,-81.0,,,,100.0,100.0,,,
4974,,,,,100.0,-81.0,,,
17596,,,,,-81.0,,,,-81.0
5179,,,6.2,,,,,6.2,100.0
14431,,,-81.0,,-81.0,,40.632000000000005,-81.0,-81.0
13703,,,,,-81.0,,-81.0,-81.0,
13700,,,,,100.0,,100.0,,
11725,100.0,,100.0,,,,,,63.8
2091,,,,,100.0,,-81.0,-81.0,
2082,,,,,100.0,,,-81.0,
2085,,,,,100.0,,,,
16473,,3.7680000000000007,63.8,3.7680000000000007,,63.8,,100.0,
8703,-81.0,,,,,-81.0,100.0,,
9429,-81.0,-81.0,,,,100.0,,,
1634,,,,,,,100.0,-81.0,
14055,,,6.2,,,6.2,6.2,,
1360,,,-81.0,,100.0,,-81.0,,-81.0
1369,,,100.0,,100.0,,,,-81.0
14677,,,,,100.0,,6.2,,6.2
14676,,,,,-9.0,,-81.0,,
18282,,,100.0,,,,,-81.0,
18334,,,100.0,,-81.0,-81.0,,,63.8
1768,,,,-81.0,,,-81.0,-81.0,100.0
14446,,,-81.0,,-81.0,-81.0,,,-81.0
15175,,,,,100.0,63.8,,,100.0
15751,,-81.0,,-81.0,,-81.0,-81.0,,63.8
2714,,-81.0,,,,-81.0,-81.0,-81.0,
2741,,100.0,,,,,100.0,63.8,
6920,-81.0,,,-81.0,-81.0,-81.0,,,
7001,100.0,,,-81.0,,-81.0,,,
6974,100.0,,,-81.0,,,,,
4874,,,,,,,-9.0,-81.0,
4900,,,,,,-81.0,-81.0,-81.0,-81.0
4898,,,,,,-81.0,-9.0,,
12723,-81.0,,,-81.0,-81.0,,,,
7166,-81.0,,,,-81.0,-81.0,-81.0,,
7193,100.0,,,,100.0,,-81.0,,
7499,-81.0,,-81.0,,,-81.0,,,
10482,-5.960000000000001,-81.0,,-81.0,,-81.0,,,
17043,,6.2,,-81.0,,-81.0,,,
17016,,100.0,,-9.0,,,,,
13651,,,,,,-81.0,100.0,,-81.0
17784,,,,100.0,,-9.0,,,
6632,-81.0,,,,,,100.0,,
10153,-81.0,-81.0,-81.0,,,3.7680000000000007,,,100.0
3593,,-81.0,-81.0,,,6.2,,,
13543,,,,-81.0,,,-81.0,,100.0
13300,,,,,,,-81.0,,100.0
10134,-81.0,-81.0,-81.0,,,,-81.0,,
2002,,,,,,,,-81.0,100.0
1588,,,,,100.0,63.8,,63.8,63.8
12727,40.632000000000005,,,-81.0,-81.0,,-81.0,,-81.0
16453,,-81.0,-81.0,-81.0,,,-81.0,,63.8
15724,,-81.0,,-81.0,,,-81.0,,100.0
2966,,-81.0,-81.0,,,63.8,,100.0,
13726,,,,,63.8,-81.0,100.0,,-81.0
3952,,-81.0,,-81.0,,,-81.0,,100.0
4195,,100.0,,,,,-81.0,,100.0
1318,,,-52.04,,-81.0,,,-81.0,-81.0
1399,,,100.0,,,,,-81.0,-81.0
1396,,,100.0,,,,,,-81.0
10471,63.8,63.8,,100.0,,,,63.8,63.8
11437,63.8,,,,,,100.0,,100.0
9056,-81.0,-81.0,,-81.0,,,-81.0,,
8454,-81.0,,,-81.0,,-81.0,,-5.960000000000001,
15015,,,,6.2,,6.2,,100.0,
2400,,100.0,,,,-81.0,,,
9671,100.0,-81.0,-81.0,,,-81.0,,-81.0,
7114,-81.0,,,,,,-81.0,-81.0,-81.0
7117,100.0,,,,,,100.0,,63.8
7116,-81.0,,,,,,-81.0,,
8303,-81.0,,,-81.0,,63.8,-81.0,100.0,
8060,-81.0,,,,,100.0,-81.0,-81.0,
7903,63.8,,-81.0,,100.0,-81.0,,,-81.0
18513,,,-81.0,-81.0,,-81.0,,,
18270,,,100.0,,,-9.0,,,
11699,100.0,,100.0,,,100.0,,,
11541,63.8,,,,63.8,100.0,63.8,63.8,
9141,63.8,3.7680000000000007,,3.7680000000000007,63.8,,-52.04,,
2580,,-81.0,,-81.0,-81.0,,-81.0,,
2823,,100.0,,,100.0,,-81.0,,
9536,-81.0,-81.0,100.0,,,,,-81.0,
3949,,-81.0,,100.0,,,,,100.0
1799,,,,-81.0,-81.0,,6.2,,
12646,100.0,,,-5.960000000000001,,,-81.0,,-81.0
12647,6.2,,,100.0,,,-81.0,,
3393,,-81.0,-81.0,-81.0,,,,,
11041,-81.0,,,,100.0,,,,100.0
6240,,,,-81.0,,,,100.0,
7024,63.8,,,100.0,,,,-81.0,-81.0
18487,,,-81.0,100.0,,,,,-81.0
11722,-81.0,,-81.0,,,,,-81.0,-81.0
2770,,-81.0,,,-81.0,,-81.0,,-81.0
5173,,,63.8,,,,100.0,,100.0
4444,,,,,,,-81.0,,-81.0
14863,,,,63.8,,63.8,3.7680000000000007,100.0,3.7680000000000007
12155,6.2,,100.0,,,,,6.2,
9619,100.0,3.7680000000000007,63.8,,63.8,,,,3.7680000000000007
8617,-52.04,,,,3.7680000000000007,3.7680000000000007,,63.8,3.7680000000000007
8616,-81.0,,,,-81.0,-81.0,,-5.960000000000001,
8562,-81.0,,,,,,,-81.0,
14221,,,-81.0,-52.04,100.0,-81.0,,,-81.0
7891,3.7680000000000007,,63.8,,3.7680000000000007,40.632000000000005,,,3.7680000000000007
7890,-52.04,,-5.960000000000001,,-5.960000000000001,-52.04,,,
7917,-81.0,,-81.0,,63.8,,,,
16881,,6.2,,,-81.0,-81.0,,,
16854,,100.0,,,-9.0,,,,
17254,,100.0,,,,,,,-81.0
17119,,63.8,,-81.0,-81.0,-81.0,,,100.0
12072,-81.0,,-81.0,-81.0,,,,100.0,
18633,,,100.0,-81.0,,,,100.0,
1978,,,,,,-81.0,,,-9.0
13753,,,,,100.0,,-81.0,,-81.0
13744,,,,,100.0,,,,-81.0
2555,,100.0,,-81.0,-81.0,-81.0,63.8,,
4296,,-81.0,,,,,,-9.0,
3976,,-81.0,,-5.960000000000001,-81.0,,,,-81.0
12648,100.0,,,-81.0,,,-81.0,-81.0,
14527,,,-81.0,,,-81.0,,,100.0
9695,100.0,-81.0,-81.0,,,,,,
3505,,40.632000000000005,63.8,,3.7680000000000007,,,40.632000000000005,63.8
3507,,63.8,100.0,,100.0,,,,
9161,-81.0,-81.0,,-81.0,,,,,
10537,3.7680000000000007,3.7680000000000007,,63.8,3.7680000000000007,,,,-52.04
8351,6.2,,,63.8,6.2,,,,
3366,,-5.960000000000001,100.0,63.8,,63.8,,,
12071,6.2,,-81.0,-81.0,,,,,
10696,-5.960000000000001,-5.960000000000001,,,,,,-5.960000000000001,-5.960000000000001
12883,6.2,,,,,,,-81.0,-81.0
10050,-81.0,-81.0,-5.960000000000001,,-81.0,,,,
16079,,63.8,63.8,,,100.0,63.8,63.8,
13892,,,-81.0,,,-81.0,-81.0,-81.0,
13919,,,63.8,,,,-81.0,100.0,
13910,,,100.0,,,,,-81.0,
14423,,,-81.0,,63.8,,,-81.0,
11506,-81.0,,,,-81.0,,,-81.0,-81.0
18067,,,,,100.0,,,63.8,100.0
14371,,,100.0,,,6.2,,,6.2
14047,,,-81.0,,,-81.0,,,6.2
4107,,-81.0,,100.0,,,,100.0,
1423,,,100.0,,,-81.0,,,-81.0
8536,-81.0,,,,,-81.0,,-5.960000000000001,-81.0
1966,,,,,,,,-81.0,-81.0
13415,,,,-81.0,,-81.0,,100.0,
13172,,,,,,-81.0,,100.0,
15598,,-5.960000000000001,,100.0,,-81.0,,,-81.0
15625,,100.0,,6.2,,,,,-81.0
15382,,-9.0,,,,,,,-81.0
14344,,,-9.0,,,,,,-81.0
1842,,,,-81.0,-81.0,,,,
9779,-81.0,-81.0,100.0,-81.0,,,,-81.0,
3329,,63.8,-81.0,100.0,,,,,
16863,,6.2,,,100.0,,-81.0,,
5951,,,,,-81.0,63.8,100.0,,
5879,,,,,,100.0,,,
15627,,-81.0,,6.2,,,,-81.0,
15624,,-9.0,,100.0,,,,,
1802,,,,-81.0,100.0,,,,
11971,3.7680000000000007,,3.7680000000000007,-52.04,,,63.8,,63.8
12457,-81.0,,,,,,-81.0,,-81.0
17029,,100.0,,100.0,,,,,-81.0
7827,100.0,,-81.0,,,-81.0,,,
15809,,-81.0,,,,,100.0,-81.0,
12183,100.0,,100.0,,,63.8,,,
12156,-81.0,,-81.0,,,,,,
11102,100.0,,,,,,,100.0,
10333,-81.0,-81.0,,,63.8,-81.0,,,-81.0
15883,,63.8,,,100.0,,,,100.0
6954,-5.960000000000001,,,-81.0,-81.0,,-81.0,,
13417,,,,-81.0,,-81.0,,,-81.0
13174,,,,,,-9.0,,,100.0
17588,,,,,100.0,,-81.0,,
10319,100.0,-81.0,,,-81.0,63.8,,-81.0,
8132,63.8,,,,-81.0,100.0,,-81.0,
11962,-81.0,,-81.0,-81.0,,,,,-81.0
4480,,,,,100.0,,,,100.0
6273,,,,-81.0,,-81.0,100.0,,
4275,,-81.0,,,100.0,,100.0,,
4269,,-81.0,,,100.0,,,100.0,
10699,6.2,6.2,,,,,,,6.2
11967,100.0,,100.0,63.8,,,,,
7342,-81.0,,-81.0,,,-5.960000000000001,,,100.0
14135,,,63.8,63.8,,63.8,63.8,100.0,
12665,-81.0,,,-81.0,,-81.0,,,
10306,-81.0,-81.0,,,100.0,,,,-81.0
12493,-81.0,,,,100.0,,,,-81.0
12492,100.0,,,,100.0,,,,
3044,,-5.960000000000001,63.8,,-5.960000000000001,-5.960000000000001,,,
5144,,,-81.0,,,-81.0,-81.0,-81.0,
5873,,,,,,100.0,100.0,-81.0,
1816,,,,-5.960000000000001,-81.0,-81.0,,,-81.0
1843,,,,100.0,-81.0,,,,63.8
9259,-81.0,-81.0,,,,,,,100.0
7072,100.0,,,,,,,,100.0
8671,6.2,,,,,,,6.2,6.2
7750,-81.0,,-81.0,100.0,,,,,63.8
8479,-81.0,,,-81.0,,,,,100.0
15641,,-81.0,,-81.0,100.0,,,,
10332,63.8,63.8,,,100.0,-52.04,,,
10359,-81.0,-81.0,,,63.8,,,,
8172,-81.0,,,,100.0,,,,
1804,,,,-52.04,100.0,,,63.8,63.8
1807,,,,-81.0,-81.0,,,,-81.0
1564,,,,,100.0,,,,100.0
3549,,-81.0,-81.0,,100.0,,-81.0,-81.0,
1362,,,-81.0,,100.0,,-81.0,-81.0,
3695,,-81.0,,,,100.0,,-81.0,
10702,-81.0,-5.960000000000001,,,,,-81.0,,-81.0
10711,63.8,100.0,,,,,,,-81.0
5677,,,-81.0,,63.8,,,,-81.0
4948,,,,,100.0,,,,-81.0
9901,-81.0,-81.0,3.7680000000000007,-81.0,,,,,-81.0
3070,,-5.960000000000001,63.8,,-5.960000000000001,,,,-5.960000000000001
3071,,-81.0,6.2,,-81.0,,,,
9889,-81.0,3.7680000000000007,-81.0,-81.0,,,,,-81.0
3328,,100.0,-81.0,-5.960000000000001,,,,,-81.0
15652,,-81.0,,100.0,-81.0,,,,63.8
9275,63.8,63.8,,,,-52.04,100.0,63.8,
17283,,6.2,,,,-81.0,,100.0,
8375,-81.0,,,-81.0,-81.0,3.7680000000000007,,-81.0,
8213,100.0,,,,,-81.0,,-81.0,
12165,100.0,,100.0,,,,63.8,,
11759,63.8,,-52.04,,100.0,,63.8,3.7680000000000007,
1285,,,100.0,,,,63.8,,100.0
5926,,,,,-81.0,,-81.0,-81.0,-81.0
8854,-81.0,-81.0,,,-81.0,,,,100.0
11803,100.0,,63.8,,63.8,,,63.8,63.8
11077,100.0,,,,100.0,,,,-81.0
12718,100.0,,,-81.0,-81.0,,,,-5.960000000000001
7594,-81.0,,-5.960000000000001,-81.0,,,,,-81.0
12655,63.8,,,100.0,,,,,-81.0
9347,63.8,63.8,,,100.0,3.7680000000000007,,-52.04,
12154,-81.0,,-5.960000000000001,,,,,-81.0,-81.0
2872,,-5.960000000000001,,,,100.0,-81.0,,-81.0
4810,,,,63.8,,-81.0,,100.0,-81.0
5381,,,100.0,100.0,,63.8,,,
14044,,,-5.960000000000001,,,-5.960000000000001,,-5.960000000000001,100.0
14773,,,,,,-81.0,,-81.0,6.2
1724,,,,-81.0,,,,100.0,
10729,63.8,100.0,,,,3.7680000000000007,63.8,,63.8
3768,,-81.0,,,-81.0,-81.0,-81.0,,
5955,,,,,100.0,-81.0,100.0,,
16809,,6.2,,,,100.0,-81.0,,
13306,,,,,,,,-81.0,100.0
14909,,,,-81.0,63.8,,,-81.0,
14828,,,,-81.0,,,,-81.0,
1969,,,,,,,,,100.0
1103,,,100.0,-81.0,-81.0,-81.0,,63.8,
1022,,,-81.0,-81.0,,-81.0,,100.0,
10278,-81.0,-81.0,,,,,,,
1425,,,100.0,,,-81.0,,-81.0,
1422,,,100.0,,,100.0,,,
6094,,,,-81.0,,,,,-81.0
5700,,,-81.0,,-81.0,-81.0,,-81.0,
17023,,63.8,,100.0,,,-81.0,-81.0,-81.0
4811,,,,100.0,,-81.0,,6.2,
16347,,3.7680000000000007,3.7680000000000007,3.7680000000000007,,,63.8,63.8,
5447,,,6.2,6.2,6.2,,,,
13469,,,,-81.0,-81.0,,,-81.0,
13388,,,,100.0,,,,100.0,
7203,100.0,,,,-81.0,,,-81.0,
11216,-81.0,,,-81.0,,-81.0,-5.960000000000001,,
11243,6.2,,,6.2,,,100.0,,
7714,63.8,,100.0,63.8,,,,,63.8
16138,,-81.0,-81.0,,63.8,,,,-81.0
16867,,-81.0,,,100.0,,,,-81.0
11845,-81.0,,6.2,,,,,,-81.0
8974,-5.960000000000001,-52.04,,,,,-5.960000000000001,,-52.04
15535,,-81.0,,,,,-81.0,,6.2
4585,,,,,,-81.0,,6.2,-81.0
1926,,,,100.0,,,100.0,,
2820,,-81.0,,,100.0,,-81.0,-81.0,
5007,,,,,100.0,,-81.0,-81.0,
3799,,-81.0,,,-81.0,,,,-81.0
3798,,-81.0,,,100.0,,,,
3381,,-81.0,-81.0,100.0,,,,,
7864,-52.04,,,,-52.04,,,,-52.04
7865,6.2,,63.8,,6.2,,,,
15727,,-81.0,,-81.0,,,-81.0,-81.0,100.0
9172,-81.0,-81.0,,-81.0,,,,,-5.960000000000001
11359,6.2,,,6.2,,,,,100.0
11116,-81.0,,,,,,,,-9.0
7661,63.8,,63.8,-52.04,100.0,-52.04,,,
943,,,100.0,,,-81.0,,,-81.0
6721,100.0,,,,-81.0,,,,6.2
4687,,,,63.8,,,100.0,,100.0
8631,-81.0,,,,100.0,-81.0,,,
3127,,-81.0,3.7680000000000007,,,-81.0,,-81.0,-81.0
15407,,-81.0,,,100.0,,-81.0,,
5279,,,-81.0,,,,100.0,6.2,
5005,,,,,63.8,,-81.0,,-81.0
8891,100.0,63.8,,,100.0,,,,
4523,,,,,6.2,,100.0,6.2,
9630,-5.960000000000001,-5.960000000000001,-52.04,,-5.960000000000001,,,,
9711,-81.0,-81.0,6.2,,,,,,
8982,-9.0,-9.0,,,,,,,
10063,40.632000000000005,-81.0,-81.0,,-81.0,,,,-81.0
7876,100.0,,-81.0,,63.8,,,,-81.0
7877,63.8,,-81.0,,100.0,,,,
7148,100.0,,,,-81.0,,,,
4793,,,,-81.0,,,-81.0,6.2,
4784,,,,-9.0,,,,100.0,
18291,,,6.2,,,,-81.0,-81.0,
18288,,,100.0,,,,-9.0,,
18297,,,10.0,,,,,,
6960,-5.960000000000001,,,-81.0,-81.0,,,-81.0,
7041,100.0,,,6.2,,,,-81.0,
7038,-9.0,,,100.0,,,,,
11002,-81.0,,,,,,-5.960000000000001,-81.0,-81.0
7439,-81.0,,40.632000000000005,,-81.0,,-81.0,-81.0,
878,,,100.0,,-81.0,,-81.0,-81.0,
17103,,-52.04,,-81.0,-81.0,,-81.0,-81.0,
17100,,100.0,,-81.0,-81.0,,63.8,,
17181,,-81.0,,-81.0,,,100.0,,
16938,,100.0,,,,,100.0,,
13278,,,,,-9.0,,,-9.0,
13281,,,,,10.0,,,,
9593,100.0,40.632000000000005,63.8,,63.8,63.8,,,
9566,-81.0,-81.0,-81.0,,-81.0,,,,
16866,,100.0,,,100.0,,,,
16860,,100.0,,,63.8,,-81.0,-81.0,
16941,,-81.0,,,,,-81.0,-81.0,
5755,,,-81.0,,,,,6.2,-81.0
1347,,,100.0,,100.0,63.8,,,
9684,-5.960000000000001,-5.960000000000001,100.0,,,-5.960000000000001,,,
8313,100.0,,,63.8,,63.8,,,
8286,-81.0,,,-81.0,,,,,
8529,100.0,,,,,,,,
13264,,,,,-9.0,,,,-81.0
11760,-81.0,,-81.0,,100.0,,-81.0,,
9539,100.0,-81.0,100.0,,,,,,
8975,63.8,-81.0,,,,,-81.0,,
8966,100.0,-81.0,,,,,,,
11889,6.2,,6.2,,,,100.0,,
4767,,,,-81.0,100.0,,-81.0,,
9378,-81.0,-81.0,,,100.0,,63.8,,
15666,,-81.0,,-81.0,-81.0,-81.0,,,
15441,,6.2,,,6.2,100.0,,,
8175,-81.0,,,,63.8,,,-81.0,
9123,63.8,63.8,,40.632000000000005,63.8,100.0,,,
7254,100.0,,,,,100.0,,,
11163,-81.0,,,,,,-81.0,6.2,
16452,,-81.0,-81.0,-81.0,,,-81.0,,
16218,,-81.0,100.0,,,,,,
8160,-9.0,,,,-81.0,,,,
8902,-5.960000000000001,-5.960000000000001,,,-5.960000000000001,,,,-52.04
11089,6.2,,,,6.2,,,,6.2
4528,,,,,-9.0,,,,-9.0
10298,-81.0,-81.0,,,63.8,,-81.0,,
10307,-81.0,-81.0,,,100.0,,,,
10329,63.8,3.7680000000000007,,,63.8,-52.04,3.7680000000000007,,
7818,-5.960000000000001,,-81.0,,,-81.0,-81.0,,
7836,-81.0,,-81.0,,,,,,
6854,-81.0,,,-81.0,,-81.0,,100.0,
10309,-81.0,-81.0,,,100.0,,,-81.0,-81.0
7440,-5.960000000000001,,-52.04,,-52.04,,-52.04,,
1798,,,,-5.960000000000001,-5.960000000000001,,63.8,,-5.960000000000001
3821,,-81.0,,,,,100.0,-81.0,
4736,,,,-5.960000000000001,-5.960000000000001,-52.04,-5.960000000000001,,
4817,,,,6.2,,6.2,6.2,,
4808,,,,-9.0,,-81.0,,,
7921,-81.0,,-81.0,,100.0,,-81.0,,-81.0
13408,,,,-81.0,,-81.0,63.8,,-81.0
14369,,,100.0,,,63.8,,100.0,
12519,-81.0,,,,-81.0,-81.0,,,
18310,,,100.0,,63.8,,,-81.0,-81.0
18313,,,-81.0,,100.0,,,,-81.0
11085,-81.0,,,,63.8,,-81.0,,
10247,-81.0,-81.0,,,,100.0,-81.0,-81.0,
14230,,,-81.0,-81.0,-81.0,,,,-81.0
1663,,,,,,-81.0,100.0,,-81.0
11270,-52.04,,,-5.960000000000001,-5.960000000000001,,-5.960000000000001,,
11513,6.2,,,,6.2,,6.2,,
18327,,,100.0,,100.0,,,-81.0,
10143,-81.0,-81.0,100.0,,,,,,
9300,-81.0,-81.0,,,,,-81.0,-81.0,
3929,,-81.0,,-81.0,,3.7680000000000007,-81.0,-81.0,
16140,,-81.0,-81.0,,-81.0,,,-81.0,
11793,-52.04,,3.7680000000000007,,63.8,63.8,,-52.04,
11253,100.0,,,6.2,,,,6.2,
8899,63.8,3.7680000000000007,,,3.7680000000000007,,63.8,,3.7680000000000007
8898,-5.960000000000001,-52.04,,,-5.960000000000001,,-52.04,,
8979,-81.0,6.2,,,,,-81.0,,
4979,,,,,6.2,6.2,6.2,,
4952,,,,,-9.0,,-9.0,,
5518,,,-52.04,-52.04,,,-5.960000000000001,,-5.960000000000001
2717,,100.0,,,,-81.0,100.0,,
14857,,,,6.2,,6.2,,,6.2
12565,-81.0,,,,,,-81.0,,-81.0
11226,-81.0,,,-81.0,,-81.0,,-81.0,
6133,,,,100.0,,,,-81.0,100.0
5465,,,3.7680000000000007,3.7680000000000007,3.7680000000000007,3.7680000000000007,3.7680000000000007,,
16076,,-81.0,-81.0,,,-81.0,-81.0,,
18351,,,6.2,,-81.0,-81.0,,,
3125,,-81.0,6.2,,,-81.0,,,
16143,,63.8,100.0,,100.0,,,,
5979,,,,,100.0,,100.0,63.8,
14153,,,100.0,-81.0,,,,100.0,
16102,,-5.960000000000001,-81.0,,,,-81.0,,-81.0
16111,,100.0,6.2,,,,,,6.2
11011,6.2,,,,,,,6.2,6.2
11008,-9.0,,,,,,,,-9.0
11351,6.2,,,-81.0,,,-81.0,,
4790,,,,-9.0,,,-9.0,,
5033,,,,,,,10.0,,
8114,-81.0,,,,63.8,,-81.0,-81.0,
14675,,,,,100.0,,-81.0,-81.0,
17092,,100.0,,-81.0,-81.0,,,,63.8
17093,,-81.0,,-81.0,-81.0,,,,
18258,,,100.0,,,-81.0,,,
12640,100.0,,,-5.960000000000001,,,,-81.0,-81.0
8593,6.2,,,,6.2,,,,6.2
5384,,,-5.960000000000001,-5.960000000000001,,-5.960000000000001,-5.960000000000001,,
8455,3.7680000000000007,,,3.7680000000000007,,3.7680000000000007,,-52.04,3.7680000000000007
11460,-81.0,,,,,-81.0,-81.0,-81.0,
11487,100.0,,,,,,100.0,63.8,
8948,100.0,-5.960000000000001,,,,-52.04,-5.960000000000001,,
